h,geo_value,forecaster,forecast_date,target_date,forecast_0.01,forecast_0.025,forecast_0.05,forecast_0.1,forecast_0.15,forecast_0.2,forecast_0.25,forecast_0.3,forecast_0.35,forecast_0.4,forecast_0.45,forecast_0.5,forecast_0.55,forecast_0.6,forecast_0.65,forecast_0.7,forecast_0.75,forecast_0.8,forecast_0.85,forecast_0.9,forecast_0.95,forecast_0.975,forecast_0.99,deaths
2,hi,JHU_CSSE-DECOM,2020-10-05,2020-10-17,5.571429,5.571429,6.107143,12.57143,20.89286,24.88571,25.20168,27.5,30.92857,34.78572,37.78571,39.50857,43.0,45.47619,52.22449,56.26429,73.14286,82.5,93.21429,122.1429,154.1224,174.3214,187.3,18.0
2,id,JHU_CSSE-DECOM,2020-10-05,2020-10-17,6.685714,11.42857,15.14286,21.71428,24.40816,25.42857,26.71428,29.81349,32.28571,33.60714,35.08571,36.32143,37.85714,41.08333,44.10714,47.42857,51.03572,55.07143,57.97143,68.04762,80.57143,83.19643,92.96429,22.0
2,il,JHU_CSSE-DECOM,2020-10-05,2020-10-17,130.5714,141.4762,151.8571,187.2143,199.8095,205.7143,238.1984,244.3265,249.5714,266.9143,268.0952,282.3674,289.8928,306.0714,306.5333,317.4286,333.4945,353.1191,445.5536,462.9524,588.6071,718.881,807.5714,231.0
2,in,JHU_CSSE-DECOM,2020-10-05,2020-10-17,48.57143,49.42857,54.10714,60.0,70.5,72.85714,79.42857,80.6,81.53061,88.57143,91.28571,96.71429,101.6104,113.0,119.2041,120.8571,123.1429,138.1429,146.8413,162.8571,183.5,209.7619,217.8571,194.0
2,ia,JHU_CSSE-DECOM,2020-10-05,2020-10-17,25.85714,32.28571,34.57143,42.64286,46.38095,48.65714,51.67857,53.90476,56.28571,59.07143,60.14286,63.84127,67.78571,72.6,79.42857,87.10715,88.66667,90.90909,101.7857,111.8571,124.1429,164.1429,210.5179,69.0
2,ks,JHU_CSSE-DECOM,2020-10-05,2020-10-17,13.14286,18.42857,22.42857,26.71428,35.92857,43.92857,50.28571,58.71429,59.48572,67.71429,77.0,86.0,91.21429,95.76786,100.3265,103.2,116.6786,134.0476,144.0464,151.8571,177.449,195.7143,230.375,86.0
2,ky,JHU_CSSE-DECOM,2020-10-05,2020-10-17,32.5,34.22857,39.32143,43.71429,47.78571,49.42857,50.64286,54.03175,55.64286,57.82143,65.85714,68.92857,70.32143,75.55357,80.57143,87.14286,90.47619,110.4286,119.4416,125.125,143.9286,156.2857,217.8571,63.0
2,la,JHU_CSSE-DECOM,2020-10-05,2020-10-17,7.5,21.5,26.71428,38.5,43.92857,53.57143,59.23809,63.71429,69.42857,75.45715,81.42857,87.14286,94.32143,104.7143,109.7143,119.3571,132.6429,143.9107,151.4286,190.0714,220.75,242.3214,284.9,92.0
2,me,JHU_CSSE-DECOM,2020-10-05,2020-10-17,0.0,0.04761905,0.7142857,0.9285714,1.324675,1.571429,1.857143,2.142857,2.285714,2.428571,2.571429,2.750001,3.107143,3.285714,3.541353,3.857143,4.025974,4.199461,4.380952,7.214286,13.33333,15.61111,15.94444,3.0
2,md,JHU_CSSE-DECOM,2020-10-05,2020-10-17,5.571429,8.428571,14.0,23.28571,25.79592,29.14286,33.07143,35.5102,38.47619,41.37143,43.28571,44.97143,46.17857,47.97143,50.65714,52.54286,57.48572,63.57143,70.42857,76.36735,80.96939,83.03061,91.14286,41.0
