h,geo_value,forecaster,forecast_date,target_date,forecast_0.01,forecast_0.025,forecast_0.05,forecast_0.1,forecast_0.15,forecast_0.2,forecast_0.25,forecast_0.3,forecast_0.35,forecast_0.4,forecast_0.45,forecast_0.5,forecast_0.55,forecast_0.6,forecast_0.65,forecast_0.7,forecast_0.75,forecast_0.8,forecast_0.85,forecast_0.9,forecast_0.95,forecast_0.975,forecast_0.99,deaths
2,ks,CEID-Walk,2020-08-09,2020-08-22,3.067,5.338,9.271,10.883,12.808,13.746,15.273,16.662,18.314,19.869,20.843,21.727,22.435,23.678,25.284,27.337,29.753,31.783,33.457,35.785,37.3,44.088,45.871,20.0
3,ks,CEID-Walk,2020-08-09,2020-08-29,0.0,1.714,4.663,8.886,11.369,13.917,15.305,16.406,17.403,18.852,19.307,20.12,22.297,24.958,26.442,28.536,32.326,36.074,38.33,40.398,44.305,46.872,50.111,25.0
4,ks,CEID-Walk,2020-08-09,2020-09-05,0.0,0.0,0.0,5.007,9.726,13.438,15.134,17.144,17.654,20.255,21.67,22.753,23.903,25.517,29.85,32.236,33.802,34.724,39.282,40.96,45.904,55.829,64.074,30.0
1,ky,CEID-Walk,2020-08-09,2020-08-15,0.0,1.228,4.238,9.852,17.081,19.821,22.374,23.88,26.473,28.526,30.447,31.936,35.95,38.049,39.721,41.712,43.606,45.27,48.14,51.848,56.788,61.353,65.705,38.0
2,ky,CEID-Walk,2020-08-09,2020-08-22,0.0,0.0,0.0,10.486,15.989,19.581,21.362,24.414,26.317,30.121,33.151,35.621,37.535,41.25,44.125,47.164,49.198,52.848,58.417,61.85,67.412,85.045,94.687,62.0
3,ky,CEID-Walk,2020-08-09,2020-08-29,0.0,0.0,0.0,0.0,1.551,7.852,17.719,21.029,24.338,27.67,29.244,32.627,35.835,39.049,44.776,48.246,52.168,54.864,63.388,70.505,78.582,93.494,108.329,49.0
4,ky,CEID-Walk,2020-08-09,2020-09-05,0.0,0.0,0.0,0.0,3.598,6.176,13.209,20.011,25.886,29.156,32.147,34.09,36.644,42.782,46.92,49.96,53.276,59.893,68.756,74.539,84.185,96.844,124.6,72.0
1,la,CEID-Walk,2020-08-09,2020-08-15,133.284,145.755,157.359,190.969,200.541,205.746,211.215,228.658,233.313,239.609,245.176,251.378,263.744,269.655,280.97,287.192,291.506,299.041,306.126,317.949,336.67,355.435,356.723,223.0
2,la,CEID-Walk,2020-08-09,2020-08-22,58.797,116.153,146.203,167.879,179.061,193.388,201.02,207.376,214.684,228.073,234.786,248.597,259.679,268.526,282.558,301.663,307.557,317.137,336.301,342.446,359.598,375.109,424.485,257.0
3,la,CEID-Walk,2020-08-09,2020-08-29,70.218,96.19,115.516,143.317,161.229,174.31,188.327,200.766,212.672,226.408,239.473,244.409,252.85,265.267,275.439,289.586,308.598,325.38,347.195,370.379,397.66,425.285,495.731,217.0
4,la,CEID-Walk,2020-08-09,2020-09-05,13.45,48.273,90.032,108.813,139.27,158.697,172.434,192.866,208.309,221.213,239.405,244.187,256.995,262.955,271.36,302.302,313.029,328.795,355.801,385.005,421.368,452.497,521.747,131.0
1,me,CEID-Walk,2020-08-09,2020-08-15,0.0,0.0,0.0,0.0,0.0,0.421,0.714,1.026,1.187,1.434,1.53,1.822,1.981,2.52,2.759,3.024,3.314,3.531,3.792,4.492,6.239,7.911,8.627,2.0
2,me,CEID-Walk,2020-08-09,2020-08-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.123,0.573,1.081,1.588,1.951,2.177,2.497,2.819,3.248,3.48,4.066,4.681,5.471,7.474,7.912,8.967,3.0
3,me,CEID-Walk,2020-08-09,2020-08-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043,0.618,0.806,1.141,1.571,1.843,2.433,2.745,3.396,3.768,4.584,5.43,6.779,7.35,9.091,10.27,2.0
4,me,CEID-Walk,2020-08-09,2020-09-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.255,0.712,1.434,1.681,2.0,2.331,3.441,3.982,4.453,5.195,6.377,6.941,7.949,9.259,11.478,2.0
1,md,CEID-Walk,2020-08-09,2020-08-15,44.523,51.147,52.62,57.822,60.619,62.058,64.619,65.566,67.856,68.364,69.588,71.855,72.986,74.851,75.289,76.991,78.675,79.957,82.196,84.89,89.7,93.76,98.42,59.0
2,md,CEID-Walk,2020-08-09,2020-08-22,41.646,42.758,49.027,51.823,56.014,58.57,60.523,64.602,66.981,68.887,71.55,72.931,74.348,76.464,80.0,83.712,85.149,87.555,91.58,95.374,101.271,102.788,111.57,49.0
3,md,CEID-Walk,2020-08-09,2020-08-29,22.044,29.715,43.304,46.279,48.671,60.171,63.295,65.781,67.085,68.695,70.2,71.74,76.454,78.171,79.745,83.465,86.743,90.127,94.088,100.495,104.773,126.613,133.078,61.0
